Subscriber ID,Date Created,Date Modified,Channel ID,Source,Order Count
170,29/03/2025,02/09/2025,1692941,Unknown,0
171,06/04/2025,02/09/2025,1,Unknown,0
172,30/03/2025,30/03/2025,1,Unknown,0
173,30/03/2025,30/03/2025,1692941,Unknown,0
174,30/03/2025,30/03/2025,1,Unknown,0
175,30/03/2025,30/03/2025,1692941,Unknown,0
176,30/03/2025,30/03/2025,1,Unknown,0
177,30/03/2025,30/03/2025,1,Unknown,0
178,30/03/2025,30/03/2025,1,Unknown,0
179,30/03/2025,30/03/2025,1,Unknown,0
180,30/03/2025,30/03/2025,1,Unknown,0
181,30/03/2025,30/03/2025,1,Unknown,0
182,30/03/2025,30/03/2025,1692941,Unknown,0
183,30/03/2025,30/03/2025,1,Unknown,0
184,30/03/2025,30/03/2025,1,Unknown,0
185,30/03/2025,30/03/2025,1,Unknown,0
186,30/03/2025,30/03/2025,1,Unknown,0
187,30/03/2025,30/03/2025,1,storefront,0
188,30/03/2025,30/03/2025,1,Unknown,0
189,30/03/2025,30/03/2025,1,Unknown,0
190,30/03/2025,25/11/2025,1,Unknown,0
191,30/03/2025,30/03/2025,1,Unknown,0
192,06/04/2025,02/09/2025,1,Unknown,0
193,30/03/2025,02/09/2025,1,Unknown,0
194,30/03/2025,30/03/2025,1692461,Unknown,0
195,30/03/2025,30/03/2025,1,storefront,0
196,30/03/2025,30/03/2025,1,Unknown,0
197,30/03/2025,30/03/2025,1,Unknown,0
198,30/03/2025,30/03/2025,1,Unknown,0
199,30/03/2025,30/03/2025,1,Unknown,0
200,30/03/2025,30/03/2025,1,Unknown,0
201,30/03/2025,30/03/2025,1,Unknown,0
202,30/03/2025,30/03/2025,1,Unknown,0
203,31/03/2025,31/03/2025,1692941,Unknown,0
204,31/03/2025,31/03/2025,1692941,Unknown,0
205,31/03/2025,31/03/2025,1692941,Unknown,0
206,31/03/2025,31/03/2025,1692941,Unknown,0
207,26/04/2025,02/09/2025,1692941,Unknown,0
208,31/03/2025,31/03/2025,1692941,Unknown,0
209,31/03/2025,31/03/2025,1,Unknown,0
210,31/03/2025,02/09/2025,1692941,Unknown,0
211,31/03/2025,31/03/2025,1,Unknown,0
212,31/03/2025,31/03/2025,1692941,Unknown,0
213,31/03/2025,31/03/2025,1,Unknown,0
214,31/03/2025,31/03/2025,1,Unknown,0
215,31/03/2025,31/03/2025,1,Unknown,0
216,31/03/2025,31/03/2025,1,Unknown,0
217,31/03/2025,31/03/2025,1692941,Unknown,0
218,31/03/2025,31/03/2025,1,Unknown,0
219,31/03/2025,31/03/2025,1,Unknown,0
220,31/03/2025,31/03/2025,1,Unknown,0
221,31/03/2025,31/03/2025,1,Unknown,0
222,31/03/2025,02/09/2025,1692941,Unknown,0
223,31/03/2025,02/09/2025,1,Unknown,0
224,31/03/2025,31/03/2025,1692941,Unknown,0
225,31/03/2025,31/03/2025,1,Unknown,0
226,31/03/2025,31/03/2025,1,storefront,0
227,31/03/2025,31/03/2025,1,Unknown,0
228,31/03/2025,31/03/2025,1,Unknown,0
229,31/03/2025,31/03/2025,1,Unknown,0
230,31/03/2025,31/03/2025,1,Unknown,0
231,31/03/2025,31/03/2025,1,Unknown,0
232,31/03/2025,31/03/2025,1692461,Unknown,0
233,01/04/2025,01/04/2025,1692941,Unknown,0
234,01/04/2025,01/04/2025,1,Unknown,0
235,01/04/2025,01/04/2025,1692941,Unknown,0
236,01/04/2025,01/04/2025,1692941,Unknown,0
237,01/04/2025,01/04/2025,1,Unknown,0
238,01/04/2025,01/04/2025,1692461,Unknown,0
239,01/04/2025,01/04/2025,1692941,Unknown,0
240,01/04/2025,01/04/2025,1,Unknown,0
241,01/04/2025,01/04/2025,1692941,storefront,0
242,01/04/2025,01/04/2025,1692461,Unknown,0
